Date,State,Total,Category,lag_1,lag_4,lag_12,rolling_mean_4,rolling_std_4,day_of_week,month,quarter,week_of_year,year,is_holiday,month_sin,month_cos,state_encoded
2020-06-21,Louisiana,115258587.7,Beverages,113522142.80000001,114631357.1,97224311.9,112587000.775,2322545.4042389435,6,6,2,25,2020,0,1.2246467991473532e-16,-1.0,13
2020-06-28,Louisiana,107808977.9,Beverages,115258587.7,109870800.8,98877404.83333334,112071545.05000001,3192263.2168179424,6,6,2,26,2020,0,1.2246467991473532e-16,-1.0,13
2020-07-05,Louisiana,107791932.33333334,Beverages,107808977.9,111696471.80000001,100530497.76666667,111095410.18333334,3870171.4555665688,6,7,3,27,2020,0,-0.4999999999999997,-0.8660254037844388,13
2020-07-12,Louisiana,107774886.76666667,Beverages,107791932.33333334,113522142.80000001,102183590.7,109658596.17500001,3733353.625366576,6,7,3,28,2020,0,-0.4999999999999997,-0.8660254037844388,13
2020-07-19,Louisiana,107757841.2,Beverages,107774886.76666667,115258587.7,102360001.9,107783409.55,22005.731931474682,6,7,3,29,2020,0,-0.4999999999999997,-0.8660254037844388,13
2020-07-26,Louisiana,105961502.30000001,Beverages,107757841.2,107808977.9,104786949.76666667,107321540.65,906799.0443763455,6,7,3,30,2020,0,-0.4999999999999997,-0.8660254037844388,13
2020-08-02,Louisiana,109686329.30000001,Beverages,105961502.30000001,107791932.33333334,107213897.63333334,107795139.89166667,1521033.1551543337,6,8,3,31,2020,0,-0.8660254037844385,-0.5000000000000004,13
2020-08-09,Louisiana,113411156.3,Beverages,109686329.30000001,107774886.76666667,109640845.5,109204207.275,3190505.295599099,6,8,3,32,2020,0,-0.8660254037844385,-0.5000000000000004,13
2020-08-16,Louisiana,117135983.3,Beverages,113411156.3,107757841.2,114631357.1,111548742.80000001,4808730.979501184,6,8,3,33,2020,0,-0.8660254037844385,-0.5000000000000004,13
2020-08-23,Louisiana,117579800.7,Beverages,117135983.3,105961502.30000001,109870800.8,114453317.4,3686998.3030506326,6,8,3,34,2020,0,-0.8660254037844385,-0.5000000000000004,13
2020-08-30,Louisiana,113353058.60000001,Beverages,117579800.7,109686329.30000001,111696471.80000001,115369999.725,2302682.3056065873,6,8,3,35,2020,0,-0.8660254037844385,-0.5000000000000004,13
2020-09-06,Louisiana,115110047.35000001,Beverages,113353058.60000001,113411156.3,113522142.80000001,115794722.4875,1950725.2818136504,6,9,3,36,2020,0,-1.0,-1.8369701987210297e-16,13
2020-09-13,Louisiana,116867036.10000001,Beverages,115110047.35000001,117135983.3,115258587.7,115727485.6875,1892862.043100214,6,9,3,37,2020,0,-1.0,-1.8369701987210297e-16,13
